noise_level,drift_level,delay_s,predicted_value,true_value,absolute_error,confidence,freshness,trust,decision,bad_output,accepted,rejected,forwarded,false_acceptance,false_rejection
0.0,0.0,0.1,1.0,1.0,0.0,1.0,0.9801986733067553,0.9950496683266888,accept,False,True,False,False,False,False
0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8187307530779818,0.9546826882694954,accept,False,True,False,False,False,False
0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.5488116360940264,0.8872029090235066,accept,False,True,False,False,False,False
0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.36787944117144233,0.8419698602928606,accept,False,True,False,False,False,False
0.0,0.0,10.0,1.0,1.0,0.0,1.0,0.1353352832366127,0.7838338208091532,accept,False,True,False,False,False,False
0.0,0.1,0.1,1.1,1.0,0.10000000000000009,0.9,0.9801986733067553,0.9450496683266888,accept,False,True,False,False,False,False
0.0,0.1,1.0,1.1,1.0,0.10000000000000009,0.9,0.8187307530779818,0.9046826882694954,accept,False,True,False,False,False,False
0.0,0.1,3.0,1.1,1.0,0.10000000000000009,0.9,0.5488116360940264,0.8372029090235066,accept,False,True,False,False,False,False
0.0,0.1,5.0,1.1,1.0,0.10000000000000009,0.9,0.36787944117144233,0.7919698602928605,accept,False,True,False,False,False,False
0.0,0.1,10.0,1.1,1.0,0.10000000000000009,0.9,0.1353352832366127,0.7338338208091532,forward_to_fog,False,False,False,True,False,False
0.0,0.2,0.1,1.2,1.0,0.19999999999999996,0.8,0.9801986733067553,0.8950496683266889,accept,False,True,False,False,False,False
0.0,0.2,1.0,1.2,1.0,0.19999999999999996,0.8,0.8187307530779818,0.8546826882694954,accept,False,True,False,False,False,False
0.0,0.2,3.0,1.2,1.0,0.19999999999999996,0.8,0.5488116360940264,0.7872029090235066,accept,False,True,False,False,False,False
0.0,0.2,5.0,1.2,1.0,0.19999999999999996,0.8,0.36787944117144233,0.7419698602928606,forward_to_fog,False,False,False,True,False,False
0.0,0.2,10.0,1.2,1.0,0.19999999999999996,0.8,0.1353352832366127,0.6838338208091532,forward_to_fog,False,False,False,True,False,False
0.0,0.3,0.1,1.3,1.0,0.30000000000000004,0.7,0.9801986733067553,0.8450496683266888,accept,True,True,False,False,True,False
0.0,0.3,1.0,1.3,1.0,0.30000000000000004,0.7,0.8187307530779818,0.8046826882694954,accept,True,True,False,False,True,False
0.0,0.3,3.0,1.3,1.0,0.30000000000000004,0.7,0.5488116360940264,0.7372029090235066,forward_to_fog,True,False,False,True,False,False
0.0,0.3,5.0,1.3,1.0,0.30000000000000004,0.7,0.36787944117144233,0.6919698602928606,forward_to_fog,True,False,False,True,False,False
0.0,0.3,10.0,1.3,1.0,0.30000000000000004,0.7,0.1353352832366127,0.6338338208091532,forward_to_fog,True,False,False,True,False,False
0.0,0.4,0.1,1.4,1.0,0.3999999999999999,0.6,0.9801986733067553,0.7950496683266889,accept,True,True,False,False,True,False
0.0,0.4,1.0,1.4,1.0,0.3999999999999999,0.6,0.8187307530779818,0.7546826882694955,accept,True,True,False,False,True,False
0.0,0.4,3.0,1.4,1.0,0.3999999999999999,0.6,0.5488116360940264,0.6872029090235067,forward_to_fog,True,False,False,True,False,False
0.0,0.4,5.0,1.4,1.0,0.3999999999999999,0.6,0.36787944117144233,0.6419698602928606,forward_to_fog,True,False,False,True,False,False
0.0,0.4,10.0,1.4,1.0,0.3999999999999999,0.6,0.1353352832366127,0.5838338208091532,forward_to_fog,True,False,False,True,False,False
0.1,0.0,0.1,0.9759370327344865,1.0,0.02406296726551349,0.9,0.9801986733067553,0.9450496683266888,accept,False,True,False,False,False,False
0.1,0.0,1.0,1.037659985868791,1.0,0.037659985868790935,0.9,0.8187307530779818,0.9046826882694954,accept,False,True,False,False,False,False
0.1,0.0,3.0,1.0248213449328414,1.0,0.024821344932841383,0.9,0.5488116360940264,0.8372029090235066,accept,False,True,False,False,False,False
0.1,0.0,5.0,1.0782326808703642,1.0,0.07823268087036417,0.9,0.36787944117144233,0.7919698602928605,accept,False,True,False,False,False,False
0.1,0.0,10.0,0.8886777785751827,1.0,0.11132222142481729,0.9,0.1353352832366127,0.7338338208091532,forward_to_fog,False,False,False,True,False,False
0.1,0.1,0.1,1.1568250687585386,1.0,0.15682506875853863,0.8,0.9801986733067553,0.8950496683266889,accept,False,True,False,False,False,False
0.1,0.1,1.0,0.9485479608274859,1.0,0.051452039172514064,0.8,0.8187307530779818,0.8546826882694954,accept,False,True,False,False,False,False
0.1,0.1,3.0,0.8380054577781147,1.0,0.16199454222188525,0.8,0.5488116360940264,0.7872029090235066,accept,False,True,False,False,False,False
0.1,0.1,5.0,1.0393109271800498,1.0,0.039310927180049804,0.8,0.36787944117144233,0.7419698602928606,forward_to_fog,False,False,False,True,False,False
0.1,0.1,10.0,1.0084189953654006,1.0,0.008418995365400583,0.8,0.1353352832366127,0.6838338208091532,forward_to_fog,False,False,False,True,False,False
0.1,0.2,0.1,1.2876012243056405,1.0,0.2876012243056405,0.7,0.9801986733067553,0.8450496683266889,accept,False,True,False,False,False,False
0.1,0.2,1.0,1.2664265899612894,1.0,0.26642658996128943,0.7,0.8187307530779818,0.8046826882694955,accept,False,True,False,False,False,False
0.1,0.2,3.0,1.0780925258704304,1.0,0.07809252587043036,0.7,0.5488116360940264,0.7372029090235067,forward_to_fog,False,False,False,True,False,False
0.1,0.2,5.0,1.2847361423348,1.0,0.28473614233480005,0.7,0.36787944117144233,0.6919698602928607,forward_to_fog,False,False,False,True,False,False
0.1,0.2,10.0,1.099779717575765,1.0,0.09977971757576509,0.7,0.1353352832366127,0.6338338208091533,forward_to_fog,False,False,False,True,False,False
0.1,0.3,0.1,1.2913756153663716,1.0,0.2913756153663716,0.6000000000000001,0.9801986733067553,0.7950496683266889,accept,False,True,False,False,False,False
0.1,0.3,1.0,1.2706100222043468,1.0,0.2706100222043468,0.6000000000000001,0.8187307530779818,0.7546826882694955,accept,False,True,False,False,False,False
0.1,0.3,3.0,1.3114419857460922,1.0,0.31144198574609216,0.6000000000000001,0.5488116360940264,0.6872029090235067,forward_to_fog,True,False,False,True,False,False
0.1,0.3,5.0,1.3818636311543768,1.0,0.3818636311543768,0.6000000000000001,0.36787944117144233,0.6419698602928606,forward_to_fog,True,False,False,True,False,False
0.1,0.3,10.0,1.3638413790792443,1.0,0.3638413790792443,0.6000000000000001,0.1353352832366127,0.5838338208091532,forward_to_fog,True,False,False,True,False,False
0.1,0.4,0.1,1.4349885101869209,1.0,0.43498851018692086,0.5,0.9801986733067553,0.7450496683266888,forward_to_fog,True,False,False,True,False,False
0.1,0.4,1.0,1.46499480978063,1.0,0.46499480978063,0.5,0.8187307530779818,0.7046826882694954,forward_to_fog,True,False,False,True,False,False
0.1,0.4,3.0,1.4478492037650117,1.0,0.4478492037650117,0.5,0.5488116360940264,0.6372029090235066,forward_to_fog,True,False,False,True,False,False
0.1,0.4,5.0,1.33730145347804,1.0,0.3373014534780401,0.5,0.36787944117144233,0.5919698602928606,forward_to_fog,True,False,False,True,False,False
0.1,0.4,10.0,1.3282628906183422,1.0,0.32826289061834224,0.5,0.1353352832366127,0.5338338208091532,forward_to_fog,True,False,False,True,False,False
